33**,33,unchanged,Discovery Park to Downtown Seattle,http://metro.kingcounty.gov/schedules/033/map.html,http://metro.kingcounty.gov/schedules/033/
36,36,reduced,Othello Station to Beacon Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/036/map.html,http://metro.kingcounty.gov/schedules/036/
37,37,deleted,Alaska Junction to Alki to Downtown Seattle,http://metro.kingcounty.gov/schedules/037/map.html,http://metro.kingcounty.gov/schedules/037/
40,40,unchanged,Northgate TC to Ballard to Fremont & Westlake to Downtown Seattle,http://metro.kingcounty.gov/schedules/040/map.html,http://metro.kingcounty.gov/schedules/040/
41,41,reduced,Lake City to Northgate TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/041/map.html,http://metro.kingcounty.gov/schedules/041/
43,43,reduced,University District to Montlake to Capitol Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/043/map.html,http://metro.kingcounty.gov/schedules/043/
44,44,unchanged,Ballard to Montlake,http://metro.kingcounty.gov/schedules/044/map.html,http://metro.kingcounty.gov/schedules/044/
47,47,reduced,Summit to Downtown Seattle,http://metro.kingcounty.gov/schedules/047/map.html,http://metro.kingcounty.gov/schedules/047/
48N,48,reduced,Mt Baker to University District to Loyal Heights,http://metro.kingcounty.gov/schedules/048/map.html,http://metro.kingcounty.gov/schedules/048/
48NEX,48,deleted,Mt Baker to University District to Loyal Heights,http://metro.kingcounty.gov/schedules/048/map.html,http://metro.kingcounty.gov/schedules/048/
48S,48,unchanged,Mt Baker to University District to Loyal Heights,http://metro.kingcounty.gov/schedules/048/map.html,http://metro.kingcounty.gov/schedules/048/
49,49,unchanged,University District to Broadway to Downtown Seattle,http://metro.kingcounty.gov/schedules/049/map.html,http://metro.kingcounty.gov/schedules/049/
50,50,unchanged,Alki to West Seattle to SODO to Beacon Hill/VA Hospital to Columbia City,http://metro.kingcounty.gov/schedules/050/map.html,http://metro.kingcounty.gov/schedules/050/
55**,55,unchanged,Admiral District to Alaska Junction to Downtown Seattle,http://metro.kingcounty.gov/schedules/055/map.html,http://metro.kingcounty.gov/schedules/055/
56EX,56,unchanged,Alki to Admiral District to Downtown Seattle,http://metro.kingcounty.gov/schedules/056/map.html,http://metro.kingcounty.gov/schedules/056/
57,57,deleted,Alaska Junction to Genesee Hill to Admiral District to Downtown Seattle,http://metro.kingcounty.gov/schedules/057/map.html,http://metro.kingcounty.gov/schedules/057/
60,60,reduced,Westwood Village to Georgetown to Beacon Hill to Broadway,http://metro.kingcounty.gov/schedules/060/map.html,http://metro.kingcounty.gov/schedules/060/
61,61,deleted,North Beach to Sunset Hill to Ballard,http://metro.kingcounty.gov/schedules/061/map.html,http://metro.kingcounty.gov/schedules/061/
62,62,unchanged,Ballard to SPU & Westlake to Downtown Seattle,http://metro.kingcounty.gov/schedules/062/map.html,http://metro.kingcounty.gov/schedules/062/
64EX,64,unchanged,Lake City to Downtown Seattle to First Hill,http://metro.kingcounty.gov/schedules/064/map.html,http://metro.kingcounty.gov/schedules/064/
65,65,reduced,Lake City to University District,http://metro.kingcounty.gov/schedules/065/map.html,http://metro.kingcounty.gov/schedules/065/
66EX,66,reduced,Northgate TC to University District to Downtown Seattle,http://metro.kingcounty.gov/schedules/066/map.html,http://metro.kingcounty.gov/schedules/066/
67,67,reduced,Northgate TC to Roosevelt to University District,http://metro.kingcounty.gov/schedules/067/map.html,http://metro.kingcounty.gov/schedules/067/
68,68,reduced,Northgate TC to Ravenna to University District,http://metro.kingcounty.gov/schedules/068/map.html,http://metro.kingcounty.gov/schedules/068/
70,70,reduced,University District to Eastlake to Downtown Seattle,http://metro.kingcounty.gov/schedules/070/map.html,http://metro.kingcounty.gov/schedules/070/
